Cozy multi-leveled apartment!,40.61019,-74.06757,80
"Med/Grad Students: Priv 3rd Fl room, with own bath",40.61033,-74.06544,88
Welcoming House near Verrazano Bridge,40.60827,-74.07139,150
1 Bdrm Apt Close to Manhattan Residential Area,40.60616,-74.06887,90
Breakfast nook,40.61129,-74.06357,66
Clean space,40.61225,-74.06337,169
"Cozy, charming Carriage House in NYC near Downtown",40.61009,-74.06171,300
Modern luxury studio with all amenities,40.60442,-74.0688,96
One cozy bedroom near Verrazano bridge and ferry,40.61126,-74.06789,107
1 Bedroom Apt Residential Area Close to Manhattan,40.606396,-74.067902,90
Great Apt on the water! Balcony w/ Skyline view!,40.61353,-74.06335,184
Cottage Guesthouse Studio Loft Close to Manhattan,40.60743,-74.06815,150
Cozy Studio Apt On The Water/ Balcony skyline view,40.615,-74.06297,136
Very Clean cozy room in a 3 bedroom apartment,40.60608,-74.0685,60
