Stylish Apartment with office space Near SoHo!,40.72314,-73.99108,185
"* Bright, One Bedroom in Doorman Elevator Bldg *",40.721359,-73.993668,213
Beautiful Lower East Side Loft,40.71992,-73.99167,750
Bright Cozy Chinatown Studio Apt.,40.71911,-73.98588,175
"Spacious 1BR, Adorable Clean Quiet",40.71946,-73.98641,200
"Sunny, Authentic, Artsy, Downtown NYC East Village",40.71974,-73.98393,429
Colorful 2+ Bedroom Apt. on NYC's Lower East Side,40.7203,-73.98424,325
Master Bedroom - Unbelievably RARE Penthouse Oasis,40.71724,-73.99054,220
Chic + Stylish room in heart of LowerEastSide NYC!,40.71881,-73.9879,120
Cozy two bedroom in L.E.S.,40.71254,-73.98352,240
2 Bedroom Gem - Prime LES Location,40.719482,-73.98877,205
2 Bedroom apt.in Manhattan/New York,40.71941,-73.98968,250
Luxury Designer Home Downtown Manhattan,40.72123,-73.98451,292
"LES private apt, 1 bedroom & more",40.72113,-73.98442,150
Great Apt IDEAL Location 900 SF,40.71811,-73.98478,275
The biggest small apt in Manhattan,40.72103,-73.98835,84
"Sunny, Clean, Minimal, Modern Apt",40.7211,-73.98271,250
NYC Lower East Side 1 BR + office,40.71932,-73.98364,135
"Exciting Lower East Side, Loft Life",40.71776,-73.98486,240
Curated 1BR on the prettiest block of the LES,40.71937,-73.98387,400
Light Superhosted Chill LES Apt,40.72135,-73.98947,90
Adorable Studio in a Village Atmosphere,40.71879,-73.99176,105
Private Bedroom LOWER EAST SIDE FULLVAC GUEST ONLY,40.71562,-73.98401,67
Comfy Cool Convenient Downtown 2BR,40.71774,-73.982,150
Modern and Cozy Home - LES,40.71733,-73.98427,280
Large 1BD in Downtown NYC. New elevator building.,40.71799,-73.99213,199
Cozy Modern LES Apt-Prime Location,40.71924,-73.98555,158
"Clean Private Bedroom on Lower East Side,Manhattan",40.71973,-73.99147,154
cozy charming apt - Lower East Side,40.7207,-73.98713,155
1BR in Charming Downtown Apt,40.71885,-73.98795,110
Sunny Room in Lower East Side Apt!,40.71251,-73.98833,115
GORGEOUS SUNNY LOFT w/ 15 WINDOWS,40.72207,-73.98878,465
"Fun LES 1br, close to everything!",40.71665,-73.989,179
"Spacious, quiet room with private full bathroom.",40.717,-73.98054,83
Huge rm in 1500sq ft loft w/lots,40.7202,-73.99162,125
Designer Space For Families:  2 Bed | 2 Bath,40.71812,-73.99203,290
Elegant SOHO One Bedroom,40.7225,-73.99287,217
Sublet: $490/Wk,40.72118,-73.99096,80
Manhattan/ LES Short term Stay,40.72241,-73.99119,175
Huge Bedroom at Downtown Manhattan,40.71023,-73.98723,128
Private Master BR in 3 BR Apt,40.71454,-73.98647,102
Cozy bedroom in Lower East Side,40.71525,-73.98929,71
Outdoor Oasis! Live/work 1600sf w. Private Terrace,40.72073,-73.99019,340
Room in Huge 3 Bedroom  L.E.S,40.7202,-73.98569,75
Pristine Lower East Side Sanctuary,40.72074,-73.98944,111
1BR on Quiet Block in Nolita,40.72086,-73.99354,226
"Modern Loft, Large Private Terrace.",40.71478,-73.9883,185
East Village Manhattan NYC Bedroom!,40.72114,-73.98576,126
"A Private Room  1 in a 2 Bedroom East Village, NYC",40.72043,-73.98155,150
East Village loft; authentic NY.,40.72078,-73.98276,275
Charming one bedroom in the LES,40.71675,-73.98474,156
Hip Chinatown Apt in Great Location,40.7148,-73.98887,125
Charming and Artsy LES 1-Bedroom,40.71781,-73.98369,114
Charming Private Studio in LES,40.72186,-73.98569,160
Entire Cozy One Bed #Manhattan #LES,40.71989,-73.98954,110
Chic Designer’s Room & 2 Beds in Manhattan LES,40.71478,-73.98548,91
Large sunny private room downtown,40.72093,-73.98868,68
TRENDY LOWER EAST SIDE STUDIO,40.71841,-73.98596,125
Orchard St,40.71813,-73.99063,200
Cute 1 BR in the Lower East Side,40.7212,-73.98893,110
Perfect Bowery Getaway w/Balcony,40.72088,-73.99366,205
1BD in Lower East Side,40.72205,-73.98838,120
Beautiful Private Bedroom in Soho,40.72313,-73.99291,92
Lower East Side Studio- Great Location!,40.71777,-73.98401,70
Renovated Studio - LES,40.71947,-73.98819,125
"2BR, Heart of Lower East Side",40.72014,-73.98601,150
Heart of LES + Patio,40.71974,-73.98924,225
Big Bedroom in Sunny & New Lower East Side Apt,40.7187,-73.98578,170
Luxury 1 Bedroom Sublet,40.72102,-73.98622,120
1 Bedroom in the Lower East Side,40.71957,-73.9863,140
Large private room in huge LES Apt,40.72176,-73.98695,73
Entire Amazing Chic Studio @ Lower East,40.72251,-73.98911,110
Massive 1BR in the Lower East Side,40.71801,-73.99099,275
Beautiful Loft in LES Manhattan!,40.71278,-73.98073,175
"Charming, Sunny Downtown Studio",40.71874,-73.99164,200
Bright & Cozy 2B/1BA in prime LES!,40.72003,-73.98822,259
Spacious luxury loft Downtown NYC,40.71373,-73.98849,100
Charming LES studio w/ BBQ patio,40.71969,-73.99118,180
"Quiet, Modern Gem in LES w balcony!",40.7202,-73.98667,200
"Spacious Room on Broome St, LES",40.71785,-73.99019,141
