Cozy Clean Guest Room - Family Apt,40.8038,-73.96751,75
"Sunny, Clean Zen Home w pr.Bath",40.78763,-73.96862,139
Light-filled classic Central Park,40.79936,-73.96155,88
Prewar Penthouse w Private Terrace,40.78846,-73.97459,215
"Nice renovated apt, prime location!",40.77845,-73.98295,160
1BR: See Central Park from Terrace!,40.77743,-73.97691,110
Gorgeous Upper West Side Apartment,40.79907,-73.96517,85
"Bright and spacious, garden below!",40.79918,-73.96248,211
Best City Area Columbia U Upper West Side C Park,40.79999,-73.96338,189
Nice Manhattan Apt Near Central Park and Subway,40.79864,-73.96209,250
Luxury 2Bed/2.5Bath Central Park View,40.7751,-73.98595,2500
Great studio apt near Central Park,40.78764,-73.97274,140
800 sq foot 2 bedroom apt (Monthly Only),40.80244,-73.96541,187
Panoramic View Central Park & NYC,40.79131,-73.9694,300
"Upper West: Large room, one block to Subway!",40.79824,-73.96863,50
Private Bdrm /Bath 1 block Ctrl Prk,40.78615,-73.97394,159
Upper west gem,40.79846,-73.96512,205
Beautiful New Garden Apartment,40.77702,-73.97904,150
UPWS SUNNY DUPLEX + PATIO NEAR CENTRAL PARK.,40.78585,-73.9767,250
Lux One-bed Central Park View UWS,40.79288,-73.9642,250
UWS  Brownstone 1 BR with Large Office +Garden.,40.78935,-73.97225,160
1 bdrm brownstone-west 70's-1 block Central Park,40.7769,-73.97671,325
"70’sUWS,brnstne apt.charm-",40.78105,-73.97858,107
West Side-C Park-Columbia Convenient & Quiet,40.79903,-73.96297,156
New York City for All Seasons!,40.78221,-73.98357,126
Renovated Spacious 1BR Upper West,40.79058,-73.97367,199
"Beautiful, Quiet, Spacious 1BR - UWS by parks",40.7967,-73.97201,165
BIG UWS APT-BLOCK FROM CENTRAL PARK,40.78186,-73.97849,156
Gorgeous Duplex w Riverview Terrace,40.78349,-73.98221,325
Master Bedroom with bath overlooking Central Park,40.7988,-73.96113,100
Lincoln Center - large one bedroom,40.77479,-73.98315,300
Last-Minute Bookings private room,40.79543,-73.97359,103
Luxury 1Bed with Central Park Views,40.77416,-73.98591,1000
Central Park Luxury ( BEST DEAL ;),40.78279,-73.97317,154
Space! Light! Charm! 1BR close to subways & park,40.79073,-73.97107,204
"QUIET spacious 1BR, great location!",40.78375,-73.97741,155
Lincoln Center  luxury condo,40.77149,-73.98071,183
Luxury Furnished 1 BR Apartment Near Central Park,40.78615,-73.97454,210
1 BR Modern Luxury Apart w W/D Steps From Park,40.78552,-73.97435,185
"Bright, Quiet 2 BR in Awesome Area!",40.78184,-73.98219,167
Large & Elegant Pre-War One Bedroom,40.78745,-73.97858,173
Great Apt Steps from Central Park,40.78938,-73.96796,307
Lux 2Bed/2.5Bath Central Park Views,40.77493,-73.98732,2500
Large Clean Private Room Upper West Side,40.79824,-73.96976,78
"Beautiful, large, Morningside apt",40.80196,-73.96349,185
Entire apt close to Lincoln Center,40.7764,-73.98371,149
NO PLACE LIKE YOUR NYC HOME! UPPER WEST SIDE 1BDRM,40.77787,-73.97873,225
Luxury Furnished 1 BR UWS Apt w W/D & Deck,40.78566,-73.97271,212
1 BR Large Luxury Furnished Apartment UWS,40.78687,-73.9746,215
Luxury Furnished 1 BR Apartment  UWS,40.78741,-73.97321,209
Charming Studio Near Central Park!,40.77832,-73.98442,150
"Large Garden Duplex, Park block, Private entryway",40.78711,-73.97226,360
"Cozy 1 BR near Central Park, AMNH, The MET & More",40.78495,-73.97808,59
FANTASTIC VIEWS OVER CENTRAL PARK! FULL USE OF APT,40.79963,-73.95981,206
"Have the 1st floor of a two floor duplex,",40.79455,-73.97188,106
Restored townhouse floor thru w terrace,40.7826,-73.97451,228
PRIVATE Studio Apt UWS-Great for Remote Working,40.79991,-73.96277,100
Sunny Artist Live/Work Apartment,40.79499,-73.96537,205
large Private room in UWS New York,40.78943,-73.97495,139
Luxury 1 Bedroom Central Park Views,40.79296,-73.96499,1000
Beautifully furnished UWS 1-br near Riverside Park,40.77811,-73.98825,279
Comfy Private Bedroom in Chic UWS Apartment!,40.79536,-73.9756,132
A real home on the UWS.,40.80352,-73.96551,150
"Cozy, modern 1BR, 1st fl brownstone",40.78779,-73.97884,175
UWS true 3 bedroom,40.79883,-73.96234,400
"Charming  1 bedroom , cat included",40.79865,-73.96831,100
Charming Central Park Studio: Summer Park Strolls!,40.78193,-73.97302,113
Sunny Beach House type room on UWS,40.78255,-73.97922,95
LARGE 3 BR Upper West Side Manhattan New York City,40.77905,-73.97942,700
BEAUTIFUL UPPER WEST SIDE SANCTUARY,40.78648,-73.97252,168
Huge bedroom in Luxury Building!,40.77753,-73.98898,200
Monthly Rental or more than 30 days for 6 people,40.80012,-73.96204,192
"Luxury, Safe Apartment with Stunning Views",40.77267,-73.98897,545
Duplex apartment with garden,40.79057,-73.967,538
Best Central Park/NYC View Apt,40.78468,-73.97137,300
2000 sqf  Duplex in Townhouse,40.78907,-73.9688,484
1BD Upper West Side NYC,40.78983,-73.97899,120
UWS MANHATTAN APT FOR SUPERBOWL WE,40.79321,-73.9694,1000
Private  Studio with workstation  Museum Block UWS,40.77652,-73.97792,148
Big Private Sunny Room in UWS Duplex w/ Terrace,40.7964,-73.96868,100
Stylish NYC Oasis near Central Park,40.79864,-73.96568,115
Spacious Upper West side 2 bedroom apartment,40.79065,-73.97105,199
