1 Bedroom/1 Bathroom in Riverdale (close to HIR),40.88635,-73.90974,65
Beautiful apartment with a loft.,40.88422,-73.90886,85
Bronx Retreat in Contemporary Apt,40.89169,-73.90946,68
Large private room close to subway station,40.88495,-73.90884,45
"Quiet, luxury 1BR--15minutes to Manhattan!",40.88488,-73.91363,85
An Oasis in the Bronx(Riverdale),40.88654,-73.90791,178
Chateau Estate in New York City,40.89802,-73.91187,2000
Location! Location!Location!Double Corner Lot!,40.89588,-73.90879,765
Spacious & Stylish Bedroom/Priv bath ~ NYC GEM!,40.89041,-73.91171,78
Spacious 3 bdr 4 beds right off the Henry Hudson,40.88719,-73.9101,251
