Apartment minutes from manhattan,40.71084,-73.79733,100
Germania's Deluxe Palace,40.71543,-73.80722,226
Jamaica State Private Basement Apartment,40.70984,-73.80173,107
Me CaSa,40.71169,-73.80159,140
RM#3 Long term stay Queens Hospital/St. John's,40.7168,-73.79817,75
Private room,40.70853,-73.80117,45
Private room,40.71019,-73.79997,35
Home away from home,40.71132,-73.7935,80
"Long term stay Queens Hospital, SJU, 30 mins NYC",40.71557,-73.7978,88
Looking for a roommate for one week atleast,40.71031,-73.79472,20
Adorable 2-bedroom unit with free street parking,40.71503,-73.80172,92
Long term apt 40 mins  NYC/St. John's University,40.71727,-73.7965,85
Modern Studio Apt. Close to Manhattan Exquisite,40.70918,-73.80182,420
Cozy private bnb close to St John’s university,40.71633,-73.79754,169
Spacious light filled and comfortable home,40.71856,-73.79407,340
"Sunny spacious room with double bed, fridge micro.",40.71381,-73.79873,60
