South Slope Green,40.65912,-73.9842,139
"Sunny, quiet, legal homelike suite-Pk Slope South",40.65891,-73.98556,100
Tranquility & convenience in Bklyn,40.6605,-73.98332,509
Art & Music Salon,40.64885,-73.97453,80
Brooklyn Apartment Windsor Terrace,40.66053,-73.98246,189
Private Garden Entry,40.64788,-73.97837,107
"Top Floor, on Park, 2 bedroom, Quiet Neighborhood",40.65901,-73.97606,199
Prospect Park Modern 3 Bedroom,40.65989,-73.97813,225
LUXURY BK LOFT w/BEAUTIFUL BACKYARD! STEPS TO PARK,40.65274,-73.97419,95
Windsor Terrace Home near Prospect Park,40.65018,-73.97719,132
Gorgeous Windsor Terrace home,40.6575,-73.97807,150
Chic & Clean 1 Bedroom - Prospect Park - Pets Ok,40.65774,-73.97557,127
Lovely 1-bedroom on Prospect Park,40.66026,-73.98014,120
Sunny 1 bed home close to Manhattan,40.65356,-73.97515,85
Beautiful Row House Steps From Park,40.65782,-73.97523,250
Extra Large 1BR,40.6482,-73.97486,150
Huge Apartment on Prospect Park,40.65776,-73.9767,110
Lovely Studio next to Park/Subway,40.65131,-73.97405,100
"Clean, Private 2-Bedroom Garden Level Apartment",40.64862,-73.97933,82
Artsy English Basement Apartment,40.65406,-73.97536,80
Quiet Street in a Noisy City,40.65118,-73.97921,143
Private Bedroom on Prospect Park,40.66036,-73.98214,59
Charming Windsor Terrace Home,40.6534,-73.97387,168
Colorful 2 bedroom in great Brooklyn neighborhood,40.65722,-73.97855,275
Renovated 2 Rooms with balcony and ensuite bath,40.64782,-73.97305,55
Yogi's Luxury on Prospect Park,40.65046,-73.97474,200
"Quiet, clean, modern 1-bed/1-bath",40.64921,-73.97243,100
"XLarge bedroom/workspace, park, gym, on F&G trains",40.65245,-73.974,150
Stylish Windsor Terrace flat,40.65794,-73.97982,150
Peaceful apartment close to F/G,40.64931,-73.97977,45
Discover Windsor Terrace! -- a treasure.  2 BR apt,40.65614,-73.97967,130
Colorful Brooklyn Garden Casita,40.65722,-73.97855,160
Charming 1 br - most perfect block!,40.65937,-73.97806,166
Beautiful Spacious Apartment near Prospect Park,40.65922,-73.97898,175
Cozy comfortable private room in Brooklyn NY,40.6554,-73.98044,78
Sunny one-bedroom with terrace in Park Slope,40.66,-73.98688,85
Large & sunny 2-bedroom in Windsor Terrace,40.64998,-73.97314,125
Spacious One Bedroom Steps From Prospect Park,40.6501,-73.97303,105
Bright cozy room with balcony near Prospect Park.,40.65739,-73.98492,90
"Independent Apt steps to Park, Subway, Restaurants",40.65677,-73.98216,110
Stylish Parkside Midcentury Apt,40.65917,-73.97988,163
Private modern suite in tree lined Windsor Terrace,40.64964,-73.9767,150
Park Slope - Bright Spacious Sunny Room - Flexible,40.65851,-73.98153,50
"Private, Windsor Terrace Studio",40.6544,-73.97346,149
Renovated Cozy room  for 2 or solo traveler,40.6489,-73.97483,42
Renovated Comfortable Room for 2 or solo traveler,40.64827,-73.97283,39
Renovated Modern Home Perfect for a Family,40.65865,-73.9767,400
Large Private Bedroom by Prospect Park,40.64999,-73.97439,50
16th St oasis w/ backyard 1 blk to train & park,40.66023,-73.98289,242
Small Room in the great neighborhood ofPark Slope,40.65808,-73.98125,24
Family Friendly Vibrant duplex in Windsor Terrace,40.65572,-73.98174,160
Park Slope Studio,40.65718,-73.9822,95
"Lovely, Modern Apartment in Park Slope, Brooklyn",40.65839,-73.9858,160
"Newly renovated 1 bedroom, steps to Prospect Park",40.65733,-73.98038,150
South Park Slope House,40.66029,-73.98374,210
3+ Bedroom House - Perfect For A Family Visit!,40.65163,-73.97435,225
Peaceful Home with Terrace Near Prospect Park,40.6527,-73.97829,150
Windsor Terrace Garden Apartment,40.65678,-73.98103,150
Charming 3-bedroom house with patio and parking!,40.65071,-73.98062,213
Room In Light Filled Home Walk to Prospect Park,40.65116,-73.97882,65
Little Belaire in Brooklyn,40.65903,-73.98132,110
Efficient studio space in great neighborhood,40.65442,-73.97842,117
Private Pristine Studio in Brooklyn,40.6491,-73.97807,80
Sunny spacious private room w/ separate entrance,40.65087,-73.97981,82
"Cozy&quiet 2bdr apt, 20 minutes on F train to city",40.65598,-73.97816,169
