Yankee stadium Single room overlooking Backyard,40.83178,-73.91817,30
Spain Room,40.81876,-73.92691,115
"Couch in the Bronx, near Yankee Stadium",40.83401,-73.9168,35
Harmonious Sanctuary near Yankee Stadium.,40.83264,-73.91681,90
Charming Private Suite in the South Bronx,40.82648,-73.91541,50
"NYC Yankee Village, 15 mins to Columbus Circle.",40.83129,-73.92021,74
Bronx 167th Grand ConCourse,40.8316,-73.91538,16
Cozy Private Room by Yankee Stadium. *Read Rules*,40.8303,-73.91862,52
Come Explore The Bronx And 30 Mins to Manhattan,40.8308,-73.9162,70
15 Mins to Rockefeller Center!,40.83053,-73.92059,75
1B. Studio & Stay. 30 minutes to Midtown Manhattan,40.83349,-73.91017,145
Light-filled comfortable entire apartment,40.82596,-73.91585,89
"Beautiful  peacefull 
Calm",40.82903,-73.92129,55
Cozy private living room near Yankee Stadium,40.82752,-73.92176,52
A cozy and serene private room just for you.,40.82992,-73.91626,65
Explore The Bronx &  Manhattan For Less,40.83165,-73.91821,60
Cozy room near Yankee Stadium,40.82859,-73.91957,60
You will be very comfortable,40.83442,-73.91494,60
Comfy Place by Bronx Lebanon Hospital &  Stadium!,40.83582,-73.91451,100
YANKEE STADIUM 🌆 ENTIRE🏡 🛌  9 LUX APT GARAGE BELOW,40.82092,-73.92437,166
Hermosa casa en el Bronx y cómoda y muy familiar,40.82854,-73.91589,39
Let’s stay home,40.83575,-73.91527,100
Nice Spacious Room in the Bronx,40.82054,-73.92538,70
Spacious and Bright Artist's Condo.  2-Bed 2 Bath.,40.82859,-73.91754,160
Artist’s Home 3-bed 2-bath. Brilliant! All-new.,40.8288,-73.91946,200
Habitación en el bronx,40.8296,-73.91304,43
Lovely 2 bedroom apartment,40.82981,-73.91455,89
Lovely 1 bedroom apt with patio by Yankee Stadium,40.82831,-73.91471,131
Lovely bed and breakfast Yankee Stadium live,40.82585,-73.92124,200
Spacious Private Bronx Studio Oasis,40.83384,-73.90965,115
Lovely Quiet Room Located Near YankeeStadium,40.83454,-73.91155,65
Private Room with King size bed In The Bronx,40.81872,-73.92661,80
Spacious Room In The Bronx,40.82043,-73.9256,65
Entire Unit: apt - 1 bedroom 1 bathroom...,40.83005,-73.91614,90
Lovely rental unit in Bronx,40.83209,-73.91701,206
Quite Spacious Private Room Near Yankee Stdm.,40.83404,-73.91167,63
Nice Spacious Room with King Size bed in Bronx.,40.82071,-73.92557,80
Lovely 1-bedroom rental unit in South Bronx,40.82884,-73.91462,76
Lovely 1-bedroom in Concourse Village,40.82959340530513,-73.9197922221277,64
"The Mini room 
(B.O.H)",40.83366,-73.91642,39
"Cozy Apartment near Yankee Stadium, Bronx",40.833626947143735,-73.91508705280502,143
A piece of peace in a Busy city.,40.83304065906063,-73.91531322151423,98
Elegant 3Br Apt Yankee stadium,40.827215,-73.915244,251
Spacious Room in the Bronx,40.81868,-73.92657,70
