"Priv. Room in a House, 15min to Manhattan",40.84217,-73.91198,50
Spacious room minutes away from Manhattan,40.84349,-73.90987,55
Comfy room with great bed and private bathroom,40.83603,-73.91152,55
Cozy room in lovely apartment close to subway,40.8362,-73.9117,50
Large 1920s Home W/Parking | 25 mins from Midtown.,40.83972,-73.91056,287
15min to upper manhattan/close to Bronx Lebanon,40.84154,-73.91022,60
•Bright and Cozy room in an elegant apartment•,40.84429,-73.91137,65
MedRoom 315-6,40.842,-73.90705,50
MedRoom 315-1,40.8437,-73.90743,65
The Game Room,40.84279,-73.90963,529
The Game Room Place,40.84166,-73.89798,204
1A. Studio & Stay. 30 minutes to Midtown Manhattan,40.8357,-73.90998,125
MedStay Studio #1,40.84196,-73.90571,110
Special for Travel nurse by the hospital,40.83881,-73.90947,75
MedRoom 315-3,40.84353,-73.90542,65
MedStay Studio B1,40.84395,-73.90565,110
"A room for rent, se renta una habitación",40.84249,-73.91074,85
MedStay Room  315-10D,40.84173,-73.90677,60
MedStay w/ BathRoom 315-9C,40.84359,-73.90537,77
MedStay Studio B2,40.84336,-73.90514,110
"3 mn to Bronx Lebanon, close to Yanke, D,B,4 train",40.83805,-73.9087,47
MedRoom 315-2,40.84356,-73.90556,55
Hefs Palace,40.83628,-73.91012,120
MedRoom305-14,40.84378,-73.90592,65
MedRoom 305-11,40.84168,-73.90713,65
Medstay 305-13C,40.84391,-73.90523,65
MedRoom w/balcony 305-15,40.84375,-73.90581,75
MedRoom 315-5,40.84196,-73.90671,50
Fully equipped Apartment,40.84373,-73.90495,68
Lovely 1 bedroom near Yankee Stadium.,40.83599,-73.91051,115
MedStay 315-4,40.8425,-73.90542,70
"Cozy 2-Bedroom Apartment Suite in the Bronx, NY!!",40.83803,-73.90425,157
Lovely spacious room  into 3 bedroom apartment,40.84057,-73.90896,90
Lovely 1-Bedroom SpaciousUnit Bronx.By YankeeStadm,40.83563,-73.91,63
MedStay 315-8,40.84176,-73.90548,80
Claremont Townhouse | 3-Bedroom Oasis in the Bronx,40.83642,-73.90973,169
Spacious Private Room By Yankee Stdm.,40.83583,-73.90787,61
Quite Private Room In the Bronx By YankeeStadium,40.83634,-73.90862,62
Art room “,40.84467,-73.90599,54
MedRoom 305-12B,40.84192,-73.90656,65
Heavenly Home,40.83791,-73.90089,83
Cozy Private Room Near YankeeStdm,40.83729,-73.90821,48
Center SpareRoom,40.84458,-73.90715,45
elevator building 1st fl unit,40.8419330964302,-73.91059514368743,104
