Great 1BD Apt- water front City Island Bronx NY,40.8524,-73.78768,110
Great 1BD waterfront City Island NY,40.85343,-73.78811,110
City Island Sanctuary BR & Pvt Bath à la française,40.85187,-73.78914,123
Cozy City Island Cottage,40.84637,-73.78857,195
"Private Attic Bedroom, Living Room & Bath",40.83793,-73.78328,103
Island with City Benefits,40.84791,-73.78833,120
City Island studio apartment retreat,40.84825,-73.79012,96
2 Bedroom Refuge w/ Private Bath & Living Room,40.83782,-73.78332,136
Teddy's Studios at 175,40.85658,-73.79095,98
Waterfront one bedroom House City Island near NYC,40.85726,-73.78951,120
Lovely one bedroom rental unit water front,40.85477,-73.78871,110
Quaint Island Community 20mi. from New York City!,40.84892,-73.78796,187
1-Bedroom Apartment with Sofa bed in City Island,40.84693,-73.78639,129
Dream Boat NY - Yacht on the Hudson River.,40.84149,-73.78784,350
