"Lovely, Modern, Garden Apartment",40.68088,-73.99102,220
Lovely Apt & Garden; BEST AREA; Legal; Spotless,40.66913,-73.99041,168
"Luxe, Spacious 2BR 2BA Nr Trains",40.66895,-73.99136,260
Large Brand New Park Slope 1BR,40.66952,-73.99201,130
Quiet One Bedroom in Park Slope,40.67828,-73.98414,100
Park Slope House -private room -1 block from metro,40.66926,-73.98974,60
Gowanis Urban Oasis,40.66822,-73.99365,85
Luxury Duplex Loft w. Private Roof & Amazing Views,40.67406,-73.99575,400
Modern Apartment in Brownstone Bkln,40.67876,-73.99208,250
Private Room & Balcony in New York,40.67911,-73.9833,85
Large Garden Apartment,40.68369,-73.98586,248
Charming one bedroom in brownstone,40.68368,-73.98487,200
Beautiful renovated 1 bedroom Apt.,40.67035,-73.99154,124
Bondtastic: Fabulous in Brooklyn.,40.67718,-73.99145,180
Family Friendly Brooklyn House,40.66935,-73.9938,495
"Entire apt, sparkling clean, renovated cozy One BD",40.67788,-73.98327,68
Stunning Park Slope 2BR,40.68166,-73.9816,190
Romance of the past modern comforts,40.67250061035156,-73.99176788330078,220
"Sunny zen apt in Park Slope, BK",40.67837,-73.98256,166
Brooklyn Love,40.67376,-73.99726,168
Private room in South Slope,40.66694,-73.99299,90
2 Bdr Cozy Apartment in Park Slope,40.66809,-73.99113,150
"Big Kitchen, Beautiful Bathroom",40.66619,-73.99366,160
"166 Reviews, Single-Family House",40.6713,-73.99169,284
"Sunny, spacious bedroom with a view",40.68096,-73.98209,100
Modern Clean Loft in Prime Brooklyn,40.67849,-73.98938,199
BKLYN'S Best 3BR Townhouse  W/Garden,40.68385,-73.98655,351
Large Sunny Private Bedroom,40.67789,-73.98517,130
Cozy apt in lively Carroll Gardens,40.6805,-73.99175,150
Beautiful Brooklyn Home w/Backyard Garden & HotTub,40.67868,-73.98909,495
1 Large Bedroom plus 2nd bed,40.68215,-73.98095,100
Sunny family-friendly Brooklyn 2-br with parking,40.67077,-73.98919,199
Charming & Colorful 1BR in Brooklyn,40.68316,-73.98382,99
White Loft Photo Studio,40.6729,-73.99594,650
3BR w/ Patio by Subway (Rate covers 2 guests),40.66639,-73.99307,191
King Sized Bed Park Slope,40.66864,-73.99484,155
Little house on 12th Street,40.66814,-73.99156,85
Sunny Bedroom in Park Slope,40.66801,-73.99125,45
Garden Apartment at House on 11th,40.6702,-73.98977,175
Sunny Brooklyn 1 BR Condo with Balcony,40.66959,-73.99036,178
Beautiful & Loved House Gowanus x Carroll Gardens,40.67783,-73.99105,1643
Light filled room in hip Gowanus,40.6772,-73.9841,49
"Beautiful, light filled, spacious",40.672489166259766,-73.99177551269531,250
"Family friendly, large garden - Cobble/Boerum Hill",40.68482,-73.98864,250
Charming Townhouse  in Brooklyn with Garden,40.67005,-73.99253,350
Entire New Apartment in Park Slope / Gowanus,40.66714,-73.99411,117
Spacious Gowanus Apt,40.67176,-73.98973,125
Boerum Hill Beautiful Spacious Two Bedrooms Apt.,40.68392,-73.98649,175
"Sunny Spacious Townhouse.  Work, Breathe and Play",40.68286,-73.98856,380
Modern Oasis in Carroll Gardens,40.67829,-73.9908,150
Sunny & Spacious 3BR/2BA Bklyn Duplex w Backyard,40.66868,-73.99158,300
Prime Park Slope Room (2 min. walk to subway),40.67033,-73.9892,74
NEW & PRIVATE 2 bedroom apt in stately townhouse,40.68116,-73.99139,234
"Charming, Cozy & Convenient 1 Bd Apartment",40.67783,-73.98346,149
Top floor of a charming Brooklyn townhouse,40.66864,-73.99188,250
Cozy Quiet Upgraded Prvt Rm in House in Brooklyn!,40.66727,-73.99173,73
Beautiful & Cozy Brownstone Apt In Gowanus,40.66741,-73.99345,120
Beautiful bright new studio in Brooklyn!,40.6695,-73.99131,163
One Bedroom In New Luxury Building,40.67662,-73.99044,100
Lunita Loft: Sun-filled loft in industrial Gowanus,40.66887,-73.99383,175
Brooklyn Modern: Sunny 2BR,40.67128,-73.98863,254
"Carroll Gardens Brooklyn, Sunny and Modern Triplex",40.68126,-73.98912,632
"New studio in Gowanus, Brooklyn",40.6787,-73.99085,89
Modern and Private Duplex Apartment,40.68099,-73.99147,250
Charming Gowanus Brooklyn Getaway,40.66747,-73.99377,153
Charming Luxury Loft near Barclays/Green Building,40.67758,-73.98662,224
Huge 2BR/2BA on border of Carroll Gardens/Gowanus,40.68041,-73.99167,225
Pristine Luxury Loft Near Barclay & Green Building,40.68008,-73.9866,224
Clean 2BR Park Slope Apt w/ Private Outdoor Space,40.67085,-73.99176,150
Spacious/very clean/professional service/ PK SLOPE,40.66972,-73.99117,123
Beautiful Brownstone very close to Manhattan,40.67798,-73.99149,420
Convenient x Cozy Carroll Street Stay,40.67757,-73.98743,59
Spacious South Slope Apt in Perfect Location!,40.6694,-73.98962,100
Cozy guest room with private bath in trendy duplex,40.68456,-73.98711,125
"Bright, creative, happy apartment in heart of BK!",40.67895,-73.98715,98
Beautiful sun filled 2 bedroom home-1 block to F/G,40.6808,-73.99156,150
The Baltic - A One Bedroom Apartment,40.68072,-73.98249,175
Sunny Room in Park Slope,40.66781,-73.99132,40
2 bedroom Flat in Park Slope- Close to all Trains,40.67793,-73.98318,229
NEW Charming Studio,40.68489,-73.98863,200
Gowanus Duplex w/ Backyard & Soundproof Work Area,40.6685,-73.99177,159
Brooklyn Basement,40.67226,-73.99271,85
studio apartment,40.66867,-73.99133,55
Super Convenient Park Slope Room (subway - 2 min.),40.66978,-73.99045,91
Spacious 2bd apt with Manhattan view and sunset,40.67023,-73.98924,250
The Terraces,40.66691,-73.99211,148
Townhouse in best Brooklyn neighborhood,40.67884,-73.99149,295
Clean & Cozy 1 BR - Great NYC Location,40.66928,-73.99043,136
Sunny garden apartment in historic Brooklyn,40.68429,-73.98656,161
"Room in Charming, Plant-filled Brooklyn Apartment",40.6712,-73.99168,79
4 bedroom 2 bath Duplex with 2 Living rooms,40.68272,-73.98476,360
Cute cozy artsy apt,40.6825,-73.98995,164
Modern living in semi-industrial setting,40.6826,-73.98754,60
Great apartment park slope,40.66757,-73.99121,120
Private Room in Chill Brooklyn Apartment,40.66903,-73.99204,90
Private Bedroom & Living Room in Sunny Apt,40.66942,-73.99135,98
Newly renovated townhouse in prime Brooklyn,40.6845,-73.98905,828
Well-located Brooklyn apartment w/flexible pricing,40.66714,-73.99401,300
Rare Find Jan Avail- Brooklyn Park Slope Studio,40.66864,-73.99093,82
Charming Park Slope 2BR (15 Minutes to Manhattan!),40.67078,-73.9923,103
"Warm, Comfortable, and Joyful Loft in Brooklyn",40.67261,-73.98923,250
Spacious Brooklyn Apt with Outdoor Patio - Gowanus,40.66794,-73.99319,211
"Gorgeous, spacious Brooklyn Studio",40.67752,-73.98922,100
Rossini's Place,40.6828,-73.98552,975
Garden Apt In Artists Historic Brownstone,40.68474,-73.98762,195
Lovely Brooklyn House,40.66714,-73.99401,360
1 BR in Park Slope fully furnished,40.66654,-73.99391,50
Spacious 1BR Brooklyn Apartment,40.67331,-73.99158,80
The best deal in Brooklyn,40.68202,-73.98784,50
Stunning Townhouse on a beautiful garden - design,40.68397,-73.98836,766
Luxury 2 BR BK oasis by Barclays & Green Building,40.6821,-73.98183,321
Perfect 1 Bedroom Garden Apt.,40.67956,-73.98168,250
"Gorgeous loft: Manhattan rooftop view, fireplace",40.67675,-73.98409,695
Bond Townhouse - gorgeous Penthouse and garden,40.68376,-73.98862,500
Spacious Private Room Park Slope,40.67152,-73.98884,52
Cozy Park Slope Private Room,40.67272,-73.98905,52
Gorgeous Park Slope Private Room,40.67265,-73.98734,52
New Chic Private Room Park Slope,40.67157,-73.98904,52
Serene Private Room Awesome Location,40.673,-73.98757,53
Modern Park Slope Private Room,40.67152,-73.98916,50
Brand New Private Room Great Location,40.67281,-73.98721,52
Pristine Park Slope Private Room,40.67128,-73.98909,52
Comfy Park Slope Private Room,40.6727,-73.98848,51
High End Private Room Great Location,40.67066,-73.98869,52
"BOND Townhouse, stunning home &  garden.",40.68401,-73.98799,860
Brooklyn gem,40.67877,-73.99235,200
One-of-a-kind spacious industrial gem with rooftop,40.66822,-73.99272,444
Entire Townhome Modern Luxury Remote Work Paradise,40.67071,-73.98857,950
"2 Bedroom, 2 bath, 2 floor Apt",40.68192,-73.98904,300
Lovely 1 Bedroom in Gowanus/Boerum Hill,40.68314,-73.98769,81
Cozy & Spacious Duplex w/ 2 bedrooms,40.66876,-73.99228,222
Scorsese's Set for The Irishman,40.67302,-73.9906,150
Beautiful Park Slope 2BR Minutes from Manhattan!!!,40.66655,-73.99415,237
Family friendly in heart of Boerum/Cobble Hill,40.68469,-73.98884,220
ParkSlope Luxury Loft/Private NYC Rooftop Lounge,40.67607,-73.98493,1000
Sweet  & Cozy 1BR on brdr of  Gowanus/Boerum Hill,40.68299,-73.98701,89
Gorgeous Modern Brooklyn/New York Townhouse (July),40.68275,-73.98588,300
Rossini's Place - The First & Second Floors,40.6833,-73.98688,619
Rossini's Place - Third Floor Suite,40.68428,-73.98753,405
"Penthouse w/Skyline views, gym, rooftop pool & BBQ",40.67827,-73.99121,350
Cozy 4bed 2bath apartment with washer&dryer,40.66953,-73.99139,306
Airy Loft & Patio Garden,40.67061,-73.99167,400
Lovely Carroll Gardens duplex with two workspaces,40.68053,-73.98909,149
The Doghouse: Historic loft in Gowanus!,40.68159,-73.98258,176
Modern 1-bedroom w/ incredible view of City,40.66758,-73.9915,200
Architect House Gowanus x Carroll Gardens,40.6817,-73.9902,460
Prospect Lane by RoveTravel | Carroll Gardens TH,40.68025,-73.99082,472
Sunny private bedroom & bathroom with desk & patio,40.66873,-73.99195,80
Duplex at The Slope - 3 br loft with fireplace!,40.66649,-73.99379,635
Lovely 1-bedroom rental unit in Brooklyn,40.67678,-73.99524,250
Lovely 1-bedroom rental with free parking,40.6666,-73.99396,60
Garden Level 2-bedroom Duplex w/ Sunroom,40.6682,-73.99303,284
Sonder The Industrialist | Full Room,40.67873,-73.98386,202
New Large Modern Renovated Garden Unit w Backyard!,40.68092,-73.99097,285
Sonder The Industrialist | Queen Room,40.67814,-73.98442,394
Sonder The Industrialist | Superior Queen Room w/ Balcony,40.67678,-73.98423,525
Sonder The Industrialist | Superior Queen Room,40.67683,-73.9842,428
Modern apartment in great location near the park,40.68178,-73.98043,180
Cozy apartment at Park Slope,40.66941079347178,-73.99084655282095,325
"Bright, spacious 1 bedroom in prime Brooklyn area",40.68129,-73.98251,75
Sunny room at Park slope,40.66867,-73.99097,250
Small semi-private rear room at park slope,40.66882,-73.99111,165
Spacious and sunny 1bd/2bath loft,40.68011,-73.98915,241
"2BR Gowanus Townhouse w/ W/D, nr Prospect Park",40.672119,-73.9893274,817
Spacious sun drenched 1-bedroom in Park Slope,40.68051,-73.98185,152
Suite - Lg Bedroom & sofa sleeper near Barclays,40.68203,-73.98086,84
Charming three bedroom carriage house,40.67649,-73.99293,535
Lovely 1-bedroom rental in Park Slope Brooklyn,40.6692,-73.99067,149
"Boerum Hill 2brw/ w/d, balcony & roof, nr BAM",40.6818722,-73.981614,236
"Boerum Hill 2br w/ w/d, balcony & roof, nr BAM",40.6818722,-73.981614,215
2000sq $2 million 3 story townhouse,40.68436,-73.98901,448
Cozy room in a great Brooklyn neighborhood,40.67878,-73.99028,90
Prospect Lane by RoveTravel | Carroll Gardens TH,40.68220735537463,-73.98942700286518,1000
Furnished Apartment #1328: Gowanus,40.67222,-73.98819,201
