NYC Private Room LES Convenient Location,40.71382,-74.00546,133
Cozy West Village apartment,40.7132,-74.005,200
5 Bdrm 2 bath TH triplex w garden,40.71363,-74.0063,400
Cozy 1 bdrm on UWS,40.71354,-74.0049,120
Modern XL Tribeca apt with terrace,40.71602,-74.00464,239
"Cosy 2 bed, Gramercy, NYC Apartment",40.71354,-74.00511,199
"Beautiful, modern SoHo/TriBeCa apt",40.7151,-74.00445,169
One bedroom apartment in NoLita,40.71239,-74.00497,150
"Hip, renovated 1-bedroom",40.71415,-74.00023,100
Spacious Lower Manhattan Apt!,40.71301,-73.99996,165
Lower Manhattan Loft In Tribeca,40.71667,-74.00397,198
Private Bedroom in 1800 Sq Ft loft,40.71465,-74.00552,52
Spacious room in huge loft in Tribeca,40.71381,-74.00648,100
New york Multi-unit building,40.71369,-74.00477,100
Sunny Room in Exciting East Village,40.71354,-74.00537,100
COZY Bedroom in the heart of the Lower East Side!,40.71315,-74.00524,55
Private room With free fire stickTV,40.71216,-74.00686,65
Private room in East Williamsburg,40.71236,-74.00497,50
"Stunning, Sunny Tribeca Loft",40.7167,-74.00226,999
New York Loft,40.71238,-74.00713,236
"Sunny, Cozy Apartment in Chinatown/LES",40.71215,-73.99876,160
Huge Artistic Downtown Loft - Designer Furniture,40.71268,-73.99916,250
Super Stylish & Spacious Manhattan Apartment,40.71345,-73.99912,226
"The Beekman, A Thompson Hotel - Double Queen",40.71174,-74.00795,349
Condo-Style Suite at Wyndham Midtown NYC Resort,40.71345,-74.00503,300
TriBeCa Style Loft Downtown Manhattan,40.71363,-74.00082,232
Stylish Condo near World Trade center & Wall st,40.7137,-74.00567,920
"Lovely, Tribeca 1-bedroom with full amenities",40.7147,-74.00566,225
Lovely 3 bedroom Apt with Patio and laundry,40.71365,-74.00491,450
Lovely rental unit in Tribeca/Soho,40.71681,-74.00243,135
Refined 3B2B Soho Loft w Private Elevator,40.71266,-74.00657,1619
