Couldn't Be Closer To Columbia Uni,40.8063,-73.95985,75
Large 1BR Columbia University,40.814278,-73.960243,135
"Large 2-bedroom UWS Apt,  8 Dec 2022-15 Jan 2023",40.80576,-73.96711,137
A Comfortable Room Near Columbia University,40.81203,-73.95844,89
Quiet Large 1BR Near Columbia,40.80581,-73.96658,106
GRACIOUS HARLEM 1 BEDROOM,40.81157,-73.95635,128
Cozy 1BR in Morningside Heights,40.81356,-73.96223,80
Super Bowl New York City Apartment,40.80187,-73.96054,1500
Charming Upper West Side Studio,40.80543,-73.96516,60
Beautiful and cozy 1BR Apt,40.80862,-73.95756,99
Cozy bedroom in shared 2br apt,40.80504,-73.96454,100
One Bedroom Apartment,40.80903,-73.95967,100
Duplex in SoHa,40.80349,-73.95851,225
"Private Studio, Columbia University",40.80793,-73.95745,130
Beautiful 1BR apt Upper West Side,40.80981,-73.9597,150
Cozy 2BD Near Columbia Univ,40.81629,-73.96033,150
Columbia UWS 1BD Apt-Quiet & Comfy,40.80717,-73.96028,148
Beautiful 2BR Upper West Side,40.80652,-73.96226,150
Lovely bedroom near Central Park,40.8044,-73.96514,80
"1 Train, Delis, Duane Read,Eat Outs",40.81444,-73.95863,75
Furnished Unit (115 and Amsterdam),40.80523,-73.96157,84
New York apt in beautiful area for Summer,40.81551,-73.96113,100
Riverside Dr Apartment,40.81563,-73.96125,70
Room in Sunny & Spacious Uptown Apt,40.81019,-73.95781,82
Best Location near Columbia U,40.8046,-73.96545,50
Convienent 1-bedroom near Columbia,40.80475,-73.96443,100
LG Bright Apartment,40.80462,-73.96185,45
Best Location near Columbia U,40.80395,-73.96531,50
Nice and Perfect Location Studio,40.80738,-73.96179,75
Spacious 1 bedroom,40.81033,-73.95897,150
Private room in cozy UWS apartment,40.80514,-73.96503,85
Nice Private Room Near Columbia U.,40.80435,-73.96563,80
Pre-War Apartment By Riverside Park,40.8141,-73.96154,180
哥伦比亚大学附近公寓内客厅一间，30美元一天,40.81483,-73.9609,30
Nice apt in New York,40.81372,-73.96103,186
Spacious One bedroom apartment,40.81352,-73.9587,80
1BR apartment on Broadway (UWS),40.80685,-73.96571,170
Upper West Side room near Columbia,40.81415,-73.96076,37
曼哈顿上西区比邻哥伦比亚大学一室一厅可住2-3人温馨小屋,40.80472,-73.96454,99
"Perfect apartment, Manhattan NYC",40.80816,-73.95947,120
One-bedroom in Morningside Heights,40.80838,-73.9597,123
Comfty 1BR apt in Upper West Side,40.80442,-73.95875,150
A private room in an apartment,40.80508,-73.96262,55
Room next to Columbia University,40.8085,-73.95806,75
Posh Upper West 2 BR w/ Doorman,40.80422,-73.96301,290
Winter Sublet 24Dec-18Jan (Midtown),40.81109,-73.95904,55
Student apt. 3 minutes from the 1/C,40.80562,-73.95978,200
Beautiful bedroom w/ private bath,40.80386,-73.96387,68
1 Month Huge 1 Bdr UWS Morningside,40.81536,-73.96246,45
Queen size room near Columbia Uni.,40.80756,-73.96724,55
Cozy Studio Home on the UWS!,40.80566,-73.96731,103
A room of one's own near Columbia U,40.81047,-73.95735,61
Child friendly 1 Bedroom,40.80541,-73.96576,97
Columbia apartment - Upper West,40.80545,-73.9646,75
Morningside Heights Apartment,40.80482,-73.96482,89
"Beautiful, Spacious Riverside Park/West Side Apt.",40.81084,-73.96384,154
Charming bedroom in Manhattan,40.80616,-73.96492,70
Private room in 3 br in Manhattan,40.80348,-73.9632,70
Large Renovated Apt. Mins Away From Subway!,40.81504,-73.96062,150
Big Private BR Steps to Barnard Columbia & Subways,40.80874,-73.96633,132
"Big, Bright UWS Bedroom and Study",40.80376,-73.964,132
Great Apartment in Manhatan,40.81613,-73.95911,110
Spacious studio near Central Park,40.80443,-73.96548,130
Riverside park and Columbia Univ,40.80819,-73.96706,375
Room in Apt. near Columbia w/ Views,40.8032,-73.96259,101
Private bedroom 5 mins to ColumbiaU,40.81508,-73.95985,65
H. Potter theme place,40.80392,-73.96489,120
Clean and safe department in NYC.,40.80317,-73.96408,40
Comfortable Room Near Columbia U,40.81527,-73.96096,50
Modern Apartment. Central Park. B/C,40.80446,-73.9583,50
Sunny Bedroom + Private Living Room,40.80377,-73.96468,104
Spacious Private room near Columbia,40.80378,-73.96223,94
Convenient room in Manhattan close to Central Park,40.80258,-73.95949,45
Private Room in Morningside Heights,40.80441,-73.96238,90
Large sunny 1 BR apt french doors+container garden,40.80595,-73.96556,250
Cozy 1+ br apt. on Riverside Dr,40.81013,-73.96435,190
Bedroom in beautiful apt near Central Park,40.80189,-73.95946,60
Nice bedroom by Riverside & Columbia University,40.81254,-73.95799,56
Comfortable 1 and 1/2 Bedroom With Private Patio,40.80562,-73.95823,75
Beautiful Private Room near Columbia University,40.8056,-73.96493,75
Bedroom (#2) in beautiful apt near Central Park,40.80307,-73.95884,53
Spacious One Bedroom Apartment,40.8149,-73.95976,110
Double room in spacious Morningside apartment,40.80902,-73.95764,55
Private cozy room close to Columbia University,40.81476,-73.95901,50
Private and comfortable room in Upper West Side,40.80861,-73.95786,48
Beautiful and Quiet Morningside Heights 1BR,40.80994,-73.96569,105
1 Bedroom near Columbia University,40.80867,-73.95708,99
Private Room near Columbia University,40.81662,-73.96006,70
Private and quiet room near Columbia University,40.81507,-73.95876,50
Private room/Columbia/Central park,40.8039,-73.96355,79
"Cozy, private room in Morningside Heights",40.81406,-73.95935,40
1 bedroom apartment in Morningside Heights!,40.80453,-73.96415,130
A Private and Cozy room near Columbia University,40.80908,-73.95867,60
"Clean and Simple 1-Bedroom, Steps from University",40.8082,-73.95961,120
Private room near Columbia University,40.8106,-73.9581,90
Spacious & bright room in Upper West near Columbia,40.80436,-73.96673,75
Beautiful large 2 bed apartment near Columbia U,40.8053,-73.96625,160
Cozy apartment,40.80251,-73.95962,199
Beautiful apt. in Upper West Side close to subway,40.81573,-73.96024,150
Bright Comfy Apartment Steps to Columbia & Barnard,40.807,-73.9645,371
Beautiful large room in Morningside Heights,40.80396,-73.96387,60
Private and clean room near Columbia University,40.80415,-73.9664,60
